cd	ホームディレクトリに移動する。【基本コマンド】	
cd /tmp	/tmpディレクトリに移動する。【基本コマンド】	
cd -	直前のカレントディレクトリに移動する。【基本コマンド】	
cd ..	1つ上のディレクトリに移動する。【基本コマンド】	
pwd	カレントディレクトリを表示する。【基本コマンド】	
man passwd	passwdコマンドのマニュアルを表示する。【基本コマンド】	
man 5 passwd	/etc/passwdファイルのマニュアルを表示する。【基本コマンド】	
apropos ext3	マニュアルの1行説明に「ext3」が含まれるマニュアル一覧を表示する。【基本コマンド】	
exit	ログアウトする。シェルを終了する。【基本コマンド】	
date	現在の日時を表示する。【基本コマンド】	
su	rootユーザーになる（環境は元のまま）。終了はexit。【基本コマンド】	
su -	rootユーザーになる（環境はrootでのログインと同じ）。【基本コマンド】	
su - smile	smileユーザーになる（環境はsmileでのログインと同じ）。【基本コマンド】	
sudo /sbin/shutdown -r now	許可されたユーザーが管理者権限でshutdownコマンドを実行する。【基本コマンド】	
sudo -s	許可されたユーザーがrootユーザーになる（環境は元のまま）。【基本コマンド】	
sudo -i	許可されたユーザーがrootユーザーになる（環境はrootでのログインと同じ）。【基本コマンド】	
whatis passwd	マニュアルのタイトルがpasswdであるマニュアル一覧を表示する。【基本コマンド】	
whereis passwd	passwdコマンドの実行ファイルとマニュアルのパスを表示する。【基本コマンド】	
cp httpd.conf httpd.conf.org	httpd.confファイルをhttpd.conf.orgファイルとしてコピーする。【ファイル?ディレクトリ操作コマンド】	
cp *.txt backup	拡張子が「.txt」のファイルをbackupディレクトリにコピーする。【ファイル?ディレクトリ操作コマンド】	
cp -r /pub/data .	/pub/dataディレクトリをカレントディレクトリにコピーする。【ファイル?ディレクトリ操作コマンド】	
ls	カレントディレクトリ内のファイル一覧を表示する。【ファイル?ディレクトリ操作コマンド】	
ls -l /tmp	/tmpディレクトリのファイル一覧を詳細に表示する。【ファイル?ディレクトリ操作コマンド】	
ls -A $HOME	「.」で始まる隠しファイルも含めてホームディレクトリ内のファイルを表示する。【ファイル?ディレクトリ操作コマンド】	
mv before.txt after.txt	before.txtファイルをafter.txtファイルにリネームする。【ファイル?ディレクトリ操作コマンド】	
